experiment,duration_dp,solution_dp,optimal_dp,message_dp,duration_iqcp,solution_iqcp,optimal_iqcp,message_iqcp,duration,solution,optimal,message,duration_miqcp,solution_miqcp,optimal_miqcp,message_miqcp,duration_greedy,solution_greedy,optimal_greedy,message_greedy,n_nodes,solution_rollout,final_damage,time_taken,optimal_rollout,diff_dp_rollout,diff_iqcp_rollout,diff_ilp_rollout,diff_miqcp_rollout,diff_greedy_rollout
1,41355.22835421562,"[-1, 20, 21]",36.0,Done!,60.77163243293762,"[-1, 20, 21]",36.0,Done!,270.91339325904846,"[-1, 20, 21]",36.0,Done!,86400.12996912003,,,ERROR: Runner exceded the timeout limit,0.005839109420776367,"[-1, 20, 21]",36,Done!,40,"[20, 21]",4,0.16362624099997447,36,0.0,0.0,0.0,,0
2,43866.96433591843,"[-1, 24]",36.0,Done!,57.756932735443115,"[-1, 24]",36.0,Done!,187.9196753501892,"[-1, 24]",36.0,Done!,86400.25483322144,,,ERROR: Runner exceded the timeout limit,0.004765510559082031,"[-1, 24]",36,Done!,40,[24],4,0.14193983200016191,36,0.0,0.0,0.0,,0
3,453.44278931617737,"[-1, 4, 33, 36, 1, 14, 8, 31]",33.0,Done!,47.6951162815094,"[-1, 19, 9, 20, 21, 3]",33.0,Done!,196.83315134048462,"[-1, 9, 33, 36, 39]",33.0,Done!,86400.1391851902,,,ERROR: Runner exceded the timeout limit,0.005641460418701172,"[-1, 9, 19, 20]",31,Done!,40,"[19, 9, 20, 21, 3]",7,0.3505188480000925,33,0.0,0.0,0.0,,2
4,396.46075916290283,"[-1, 10, 3, 16, 29, 1]",36.0,Done!,51.495126485824585,"[-1, 10, 34, 25, 4]",36.0,Done!,215.09952902793884,"[-1, 10, 34, 25, 4]",36.0,Done!,86400.12906336784,,,ERROR: Runner exceded the timeout limit,0.00557398796081543,"[-1, 34, 2, 25, 18, 36]",33,Done!,40,"[10, 34, 25, 4]",4,0.3159176589999788,36,0.0,0.0,0.0,,3
5,4296.80345082283,"[-1, 27, 22]",34.0,Done!,44.48751997947693,"[-1, 27, 22]",34.0,Done!,188.74511742591858,"[-1, 27, 22]",34.0,Done!,86400.48963284492,,,ERROR: Runner exceded the timeout limit,0.005075931549072266,"[-1, 27, 22]",34,Done!,40,"[0, 16, 5, 21, 13]",9,0.3898000609999599,31,-3.0,-3.0,-3.0,,-3
6,2946.5776097774506,"[-1, 12, 37]",36.0,Done!,45.88765859603882,"[-1, 37, 12]",36.0,Done!,111.08167362213135,"[-1, 37, 12]",36.0,Done!,86400.13332486153,,,ERROR: Runner exceded the timeout limit,0.004713535308837891,"[-1, 37, 12]",36,Done!,40,"[0, 24, 10]",9,0.3391014400001495,31,-5.0,-5.0,-5.0,,-5
7,1297.5956439971924,"[-1, 26, 3, 15, 31, 33, 0, 5, 20, 18]",34.0,Done!,77.70788335800171,"[-1, 26, 4, 10, 13, 14]",34.0,Done!,256.97025418281555,"[-1, 26, 4, 10, 13, 14]",34.0,Done!,86400.12858986855,,,ERROR: Runner exceded the timeout limit,0.005355119705200195,"[-1, 4, 10, 13, 14]",29,Done!,40,"[26, 4, 10, 13, 14]",6,0.3654565489998731,34,0.0,0.0,0.0,,5
8,362.63930082321167,"[-1, 10, 15, 29, 8]",33.0,Done!,78.81393909454346,"[-1, 10, 15, 29, 8]",33.0,Done!,297.10240054130554,"[-1, 10, 15, 29, 8]",33.0,Done!,86400.13273692131,,,ERROR: Runner exceded the timeout limit,0.004896402359008789,"[-1, 33, 11, 31]",31,Done!,40,"[15, 10, 29, 8]",7,0.3316192449999562,33,0.0,0.0,0.0,,2
9,471.4655795097351,"[-1, 25, 14, 30, 39, 4, 1, 21, 3, 38]",33.0,Done!,77.79763984680176,"[-1, 25, 14, 30, 39, 21, 1, 4, 38, 3]",33.0,Done!,244.49754166603088,"[-1, 25, 14, 30, 39, 4, 1, 21, 3, 38]",33.0,Done!,86400.12651443481,,,ERROR: Runner exceded the timeout limit,0.004873991012573242,"[-1, 26, 20, 3, 38]",29,Done!,40,"[25, 14, 30, 4, 1, 21, 38, 3]",8,0.556889215999945,32,-1.0,-1.0,-1.0,,3
10,434.9110312461853,"[-1, 10, 16, 9, 35]",36.0,Done!,51.784494161605835,"[-1, 24, 12, 35]",36.0,Done!,268.26836252212524,"[-1, 10, 16, 9, 35]",36.0,Done!,86400.13765716553,,,ERROR: Runner exceded the timeout limit,0.005392551422119141,"[-1, 10, 9, 35]",35,Done!,40,"[24, 19, 34, 20]",4,0.36070937100021183,36,0.0,0.0,0.0,,1
